description,is_static,label,show_on_media,show_on_stories,tag,tag_set_description,tag_set_label,tag_set_name,tag_sets_id,tags_id
"Media is largely about Sør-Trøndelag, Norway - State & Local",True,"Sør-Trøndelag, Norway - State & Local",,,geo_NO-16,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169753
"Media is largely about Nord-Trøndelag, Norway - State & Local",True,"Nord-Trøndelag, Norway - State & Local",,,geo_NO-17,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169754
"Media is largely about Møre og Romsdal, Norway - State & Local",True,"Møre og Romsdal, Norway - State & Local",,,geo_NO-15,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169755
"Media is largely about Rogaland, Norway - State & Local",True,"Rogaland, Norway - State & Local",,,geo_NO-11,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169756
"Media is largely about Hedmark, Norway - State & Local",True,"Hedmark, Norway - State & Local",,,geo_NO-04,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169757
"Media is largely about Troms, Norway - State & Local",True,"Troms, Norway - State & Local",,,geo_NO-19,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169758
"Media is largely about Finnmark, Norway - State & Local",True,"Finnmark, Norway - State & Local",,,geo_NO-20,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169759
"Media is largely about Buskerud, Norway - State & Local",True,"Buskerud, Norway - State & Local",,,geo_NO-06,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169760
"Media is largely about Aust-Agder, Norway - State & Local",True,"Aust-Agder, Norway - State & Local",,,geo_NO-09,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169761
"Media is largely about Akershus, Norway - State & Local",True,"Akershus, Norway - State & Local",,,geo_NO-02,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169762
"Media is largely about Hordaland, Norway - State & Local",True,"Hordaland, Norway - State & Local",,,geo_NO-12,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169763
"Media is largely about Oslo, Norway - State & Local",True,"Oslo, Norway - State & Local",,,geo_NO-03,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169764
Media is largely about Norway - State & Local,True,Norway - State & Local,,,geo_NOR_state,Sources originally imported from ABYZ in December 2017.  This is a static set for reference and should not be edited.,ABYZ,ABYZ,15765105,48169765
